eunis_code	jncc_code
A5.32	SS.SMu.SMuVS
A5.321	SS.SMu.SMuVS.PolCvol
A5.322	SS.SMu.SMuVS.AphTubi
A5.323	SS.SMu.SMuVS.NhomTubi
A5.324	SS.SMu.SMuVS.MoMu
A5.325	SS.SMu.SMuVS.CapTubi
A5.326	SS.SMu.SMuVS.OlVS
A5.327	SS.SMu.SMuVS.LhofTtub
A5.33	SS.SMu.ISaMu
A5.331	SS.SMu.ISaMu.NhomMac
A5.332	SS.SMu.ISaMu.SundAasp
A5.333	SS.SMu.ISaMu.MysAbr
A5.334	SS.SMu.ISaMu.MelMagThy
A5.335	SS.SMu.ISaMu.AmpPlon
A5.336	SS.SMu.ISaMu.Cap
A5.34	SS.SMu.IFiMu
A5.341	SS.SMu.IFiMu.CerAnit
A5.342	SS.SMu.IFiMu.Are
A5.343	SS.SMu.IFiMu.PhiVir
A5.344	SS.SMu.IFiMu.Ocn
A5.35	SS.SMu.CSaMu
A5.351	SS.SMu.CSaMu.AfilMysAnit
A5.352	SS.SMu.CSaMu.ThyNten
A5.353	SS.SMu.CSaMu.AfilNten
A5.354	SS.SMu.CSaMu.VirOphPmax
A5.3541	SS.SMu.CSaMu.VirOphPmax.HAs
A5.355	SS.SMu.CSaMu.LkorPpel
A5.36	SS.SMu.CFiMu
A5.361	SS.SMu.CFiMu.SpnMeg
A5.3611	SS.SMu.CFiMu.SpnMeg.Fun
A5.362	SS.SMu.CFiMu.MegMax
A5.363	SS.SMu.CFiMu.BlyrAchi
A5.37	SS.SMu.OMu
A5.371	SS.SMu.OMu.AfalPova
A5.372	SS.SMu.OMu.ForThy
A5.373	SS.SMu.OMu.StyPse
A5.374	SS.SMu.OMu.CapThy
A5.3741	SS.SMu.OMu.CapThy.Odub
A5.375	SS.SMu.OMu.LevHet
A5.376	SS.SMu.OMu.PjefThyAfil
A5.377	SS.SMu.OMu.MyrPo
A5.4	SS.SMx
A5.41	SS.SMx.SMxLS
A5.42	SS.SMx.SMxVS
A5.421	SS.SMx.SMxVS.AphPol
A5.422	SS.SMx.SMxVS.CreMed
A5.43	SS.SMx.IMx
A5.431	SS.SMx.IMx.CreAsAn
A5.432	SS.SMx.IMx.SpavSpAn
A5.433	SS.SMx.IMx.VsenAsquAps
A5.434	SS.SMx.IMx.Lim
A5.435	SS.SMx.IMx.Ost
A5.44	SS.SMx.CMx
A5.441	SS.SMx.CMx.ClloMx
A5.4411	SS.SMx.CMx.ClloMx.Nem
A5.442	SS.SMx.CMx.ClloModHo
A5.443	SS.SMx.CMx.MysThyMx
A5.444	SS.SMx.CMx.FluHyd
A5.445	SS.SMx.CMx.OphMx
A5.45	SS.SMx.OMx
A5.451	SS.SMx.OMx.PoVen
A5.5	SS.SMp
A5.51	SS.SMp.Mrl
A5.511	SS.SMp.Mrl.Pcal
A5.5111	SS.SMp.Mrl.Pcal.R
A5.5112	SS.SMp.Mrl.Pcal.Nmix
A5.512	SS.SMp.Mrl.Lgla
A5.513	SS.SMp.Mrl.Lcor
A5.514	SS.SMp.Mrl.Lfas
A5.52	SS.SMp.KSwSS
A5.521	SS.SMp.KSwSS.LsacR
A5.5211	SS.SMp.KSwSS.LsacR.CbPb
A5.5212	SS.SMp.KSwSS.LsacR.Gv
A5.5213	SS.SMp.KSwSS.LsacR.Sa
A5.5214	SS.SMp.KSwSS.LsacR.Mu
A5.522	SS.SMp.KSwSS.LsacCho
A5.523	SS.SMp.KSwSS.LsacMxVS
A5.524	SS.SMp.KSwSS.LsacGraFS
